"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D4,D7,D3,D6,D1,D2,D5,D8";"D_SMB";8;"B250";;;
2;"D9";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"LED";;;
3;"J1,J2,J4";"TerminalBlock_Altech_AK300-2_P5.00mm";3;"Screw_Terminal_01x02";;;
4;"Q2,Q1,Q7,Q5";"TO-252-2";4;"AOD4189";;;
5;"Q8,Q4,Q6,Q3";"TO-252-2";4;"AOD66406";;;
6;"U5,U1,U2,U6";"SO-8_3.9x4.9mm_P1.27mm";4;"MIC4427";;;
7;"R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1.6k";;;
8;"U3";"SO-14_3.9x8.65mm_P1.27mm";1;"74HC08";;;
9;"C1";"CP_Elec_8x10";1;"330u";;;
10;"C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"0.1u";;;
11;"J3";"DaughterBoardTemplate";1;"DaughterBoard";;;
