Designator,Mid X,Mid Y,Rotation,Layer
C1,117.8,-119.25,90.0,top
C2,109.982,-120.015,270.0,top
D1,95.95,-85.4,180.0,top
D2,78.25,-89.2725,180.0,top
D3,95.95,-111.8,180.0,top
D4,78.3775,-108.3275,180.0,top
D5,151.25,-87.0,0.0,top
D6,168.95,-86.4,0.0,top
D7,151.2,-111.8,0.0,top
D8,168.65,-111.8,0.0,top
D9,100.5775,-74.8225,270.0,top
J1,81.2,-99.0,90.0,top
J2,165.8,-98.9,90.0,top
J3,123.5,-98.33,0.0,top
J4,109.7,-79.0,0.0,top
Q1,93.4425,-94.075,180.0,top
Q2,93.585,-103.875,180.0,top
Q3,87.475,-83.065,270.0,top
Q4,87.075,-113.56,90.0,top
Q5,153.465,-94.575,0.0,top
Q6,160.075,-83.465,270.0,top
Q7,153.465,-104.075,0.0,top
Q8,159.85,-114.11,90.0,top
R1,101.0,-80.4,180.0,top
U1,110.425,-92.695,180.0,top
U2,110.425,-102.965,180.0,top
U3,122.525,-97.69,0.0,top
U5,134.625,-92.845,0.0,top
U6,134.625,-103.595,0.0,top
